npi,specialty_description,total_claim_count,total_30_day_fill_count,total_drug_cost,total_day_supply,bene_count,brand_claim_count,brand_drug_cost,generic_claim_count,generic_drug_cost,opioid_claim_count,opioid_drug_cost,opioid_prescriber_rate,average_age_of_beneficiaries,beneficiary_female_count,beneficiary_male_count,beneficiary_race_white_count,beneficiary_race_black_count,beneficiary_race_asian_pi_count,beneficiary_race_hispanic_count,beneficiary_race_nat_ind_count,beneficiary_race_other_count,beneficiary_average_risk_score
1003814666,Internal Medicine,12806,23653.8,812781.33,682369,746.0,2184.0,572922.12,10538.0,236294.21,514.0,25394.26,4.01,75.0,365.0,381.0,662.0,59.0,,,0.0,,1.1287
1003814732,Internal Medicine,468,475.8,14665.3,9050,185.0,50.0,10350.09,418.0,4315.21,37.0,1272.84,7.91,71.0,97.0,88.0,120.0,,,,0.0,,2.7712
1003814823,Internal Medicine,7190,14925.8,484031.03,432866,644.0,1326.0,320104.12,5840.0,162794.94,83.0,1283.95,1.15,76.0,398.0,246.0,599.0,,,14.0,,17.0,1.0565
1003815010,Internal Medicine,230,239.0,5928.88,4494,109.0,30.0,2703.98,200.0,3224.9,15.0,83.23,6.52,72.0,59.0,50.0,,,0.0,,0.0,,2.3768
1003815069,General Practice,9998,10068.7,623163.29,198139,390.0,1873.0,394238.88,8046.0,227187.86,234.0,3976.21,2.34,63.0,170.0,220.0,193.0,163.0,,,0.0,,2.613
1003815093,Family Practice,4073,5607.7,193374.71,162844,310.0,742.0,118971.68,3306.0,73215.21,252.0,3036.44,6.19,63.0,197.0,113.0,113.0,149.0,,,0.0,,1.4314
1003815192,Internal Medicine,19083,24579.7,926105.35,709291,516.0,2962.0,702167.43,15960.0,218776.03,1255.0,17411.8,6.58,70.0,317.0,199.0,311.0,192.0,,,,,1.3287
1003815358,Family Practice,226,276.7,8882.2,5258,112.0,30.0,5024.86,196.0,3857.34,12.0,84.18,5.31,69.0,70.0,42.0,94.0,,0.0,,0.0,0.0,1.7215
1003815390,Family Practice,37237,38849.3,1927916.48,887750,951.0,8243.0,1406374.38,28543.0,510810.89,1800.0,45823.88,4.83,66.0,498.0,453.0,,,0.0,,0.0,,1.6495
1003815424,Internal Medicine,887,1707.8,69620.52,47286,112.0,194.0,49647.0,693.0,19973.52,16.0,175.18,1.8,71.0,58.0,54.0,92.0,,,,0.0,,0.9009999999999999
1003815465,Family Practice,17020,22120.7,918982.54,582065,484.0,3183.0,582699.26,13792.0,334305.81,1028.0,45757.15,6.04,79.0,331.0,153.0,470.0,,0.0,,0.0,,1.4553
1003815473,Internal Medicine,3837,6986.5,156625.96,204773,246.0,516.0,94958.5,3301.0,61103.55,41.0,364.65,1.07,74.0,115.0,131.0,218.0,,,,0.0,,1.0089
1003815499,Family Practice,10877,18138.7,744180.94,511243,502.0,1807.0,555859.67,8969.0,185109.84,626.0,11333.24,5.76,71.0,291.0,211.0,124.0,,,363.0,0.0,,1.6981
1003815622,Internal Medicine,8421,14523.4,469303.41,424809,491.0,1365.0,288325.58,7026.0,180264.1,375.0,7343.52,4.45,74.0,273.0,218.0,463.0,,,,0.0,,1.1922
1003815788,Internal Medicine,9792,19365.7,519612.93,572047,586.0,1543.0,332133.33,8202.0,186201.38,192.0,9785.11,1.96,76.0,320.0,266.0,489.0,84.0,,,,,1.0546
1003815879,Family Practice,12566,14840.9,331349.94,415800,409.0,1568.0,203414.73,10947.0,126592.46,26.0,178.16,0.21,69.0,237.0,172.0,0.0,0.0,0.0,409.0,0.0,0.0,1.2792
1003815937,Family Practice,7470,12323.7,509196.45,353127,384.0,1232.0,369345.59,6173.0,137197.71,665.0,38357.51,8.9,71.0,192.0,192.0,355.0,,,,0.0,,0.9642
1003815952,Internal Medicine,2422,4875.2,210907.77,141844,274.0,543.0,156664.69,1879.0,54243.08,16.0,433.27,0.66,75.0,153.0,121.0,234.0,,,,0.0,19.0,0.987
1003816224,General Practice,736,1151.3,86674.39,30603,198.0,122.0,55437.19,550.0,28580.13,12.0,395.47,1.63,73.0,150.0,48.0,184.0,,0.0,,0.0,,1.0523
1003816299,Internal Medicine,32,36.0,550.61,473,,,,,,,,,,,,,,,,,,
1003816315,Family Practice,2101,3562.1,154830.95,100953,117.0,411.0,122962.44,1641.0,28729.97,20.0,145.89,0.95,70.0,88.0,29.0,34.0,,32.0,24.0,0.0,,0.9454
1003816331,Internal Medicine,2515,4487.0,789407.9,128351,336.0,,,1576.0,33076.87,19.0,850.53,0.76,71.0,173.0,163.0,322.0,,,,0.0,,1.7676
1003816372,Internal Medicine,36651,39875.2,1612372.19,1097510,775.0,6876.0,1127140.32,29467.0,474927.68,1899.0,71872.75,5.18,67.0,418.0,357.0,754.0,,,,0.0,,1.2837
1003816398,Psychiatry,106,125.8,2294.24,3757,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003816422,Internal Medicine,41,41.0,2064.02,907,14.0,,,,,,,,85.0,,,14.0,0.0,0.0,0.0,0.0,0.0,1.6776
1003816554,Family Practice,234,238.5,10481.36,3729,77.0,38.0,7729.28,196.0,2752.08,,,,77.0,47.0,30.0,,0.0,0.0,,0.0,,1.6719
1003816687,Internal Medicine,11041,14349.7,630998.17,406048,433.0,1888.0,426469.56,9053.0,201196.21,800.0,35187.32,7.25,70.0,238.0,195.0,269.0,133.0,16.0,,0.0,,1.7143
1003816794,Family Practice,11,11.0,453.01,330,,0.0,0.0,11.0,453.01,0.0,0.0,0.0,,,,,,,,,,
1003816844,Family Practice,5570,8679.1,312611.14,249320,280.0,804.0,219238.34,4750.0,92596.37,201.0,5448.89,3.61,73.0,164.0,116.0,239.0,24.0,,,,,1.1652
1003816885,Family Practice,6382,10202.4,335306.29,281911,396.0,1009.0,230970.4,5324.0,102378.0,326.0,31116.84,5.11,72.0,190.0,206.0,376.0,,,,,,1.1303
1003816976,Internal Medicine,11340,22846.2,439374.28,666695,725.0,1500.0,252427.46,9791.0,184803.86,467.0,11532.65,4.12,76.0,406.0,319.0,714.0,,,,0.0,,1.4507
1003817040,Family Practice,33,79.0,3711.91,2223,,12.0,3190.08,21.0,521.83,0.0,0.0,0.0,,,,,,,,,,
1003817057,Internal Medicine,11389,23837.7,621124.15,705445,849.0,1554.0,383613.61,9782.0,234658.29,380.0,16089.38,3.34,75.0,483.0,366.0,803.0,,,,0.0,24.0,1.1124
1003817073,Family Practice,1652,3289.2,69560.93,93966,169.0,,,1386.0,27941.11,60.0,2043.4,3.63,72.0,131.0,38.0,,,,,0.0,,0.8334
1003817206,Family Practice,1738,2648.3,110612.46,76813,86.0,,,1494.0,25023.76,72.0,3085.14,4.14,73.0,54.0,32.0,,0.0,0.0,,,,0.8499
1003817297,Internal Medicine,94,94.2,12158.42,1203,42.0,30.0,9509.36,64.0,2649.06,12.0,247.04,12.77,68.0,27.0,15.0,28.0,,,0.0,0.0,0.0,3.4769
1003817313,Family Practice,4160,6484.5,258768.64,187242,206.0,526.0,160895.5,3616.0,97471.96,432.0,45590.61,10.38,68.0,113.0,93.0,174.0,,,,0.0,,1.1276
1003817511,Internal Medicine,1798,3019.2,219120.29,89443,255.0,,,1375.0,36603.24,,,,73.0,135.0,120.0,242.0,,0.0,,0.0,,2.897
1003817529,Internal Medicine,13344,26600.4,644484.91,777393,797.0,1788.0,396698.13,11440.0,242807.87,505.0,14279.92,3.78,73.0,307.0,490.0,681.0,83.0,,,0.0,22.0,1.0277
1003817867,Internal Medicine,401,510.6,12565.16,14278,82.0,,,341.0,9133.18,35.0,1247.32,8.73,80.0,54.0,28.0,63.0,,,,0.0,,3.1362
1003817941,Family Practice,855,856.0,22783.7,8458,337.0,108.0,10060.47,747.0,12723.23,131.0,924.42,15.32,71.0,208.0,129.0,309.0,14.0,,,0.0,,1.0382
1003818030,Internal Medicine,4948,11697.1,228596.03,337770,548.0,1270.0,130461.86,3623.0,96162.52,199.0,9118.43,4.02,76.0,359.0,189.0,161.0,,291.0,,,61.0,1.1231
1003818055,Internal Medicine,3912,7126.8,372965.91,207974,343.0,692.0,280651.4,3172.0,90326.77,619.0,85878.65,15.82,69.0,192.0,151.0,247.0,,25.0,44.0,0.0,,1.5537
1003818139,Family Practice,5052,10699.7,238086.52,312600,303.0,757.0,147035.87,4279.0,90477.2,,,,75.0,167.0,136.0,266.0,,,12.0,0.0,,0.8633
1003818204,Family Practice,11454,15473.8,542342.58,430931,572.0,2021.0,338284.62,9385.0,201625.43,234.0,9648.51,2.04,77.0,334.0,238.0,527.0,,,,0.0,18.0,1.4351
1003818337,Family Practice,1834,3044.7,79723.58,84571,219.0,,,1460.0,22171.89,86.0,1614.45,4.69,74.0,150.0,69.0,184.0,20.0,0.0,,,0.0,1.5409
1003818402,Internal Medicine,11811,15461.5,902590.98,405561,428.0,2510.0,703227.55,9272.0,198528.97,321.0,15614.83,2.72,72.0,237.0,191.0,409.0,,0.0,,0.0,,1.2563
1003818469,Internal Medicine,966,1603.1,117071.82,46606,86.0,232.0,79638.23,734.0,37433.59,38.0,4111.05,3.93,78.0,49.0,37.0,,,,,0.0,,1.0721
1003818477,Family Practice,1524,2363.0,128081.48,70455,183.0,362.0,96784.73,1146.0,30761.99,,,,74.0,105.0,78.0,136.0,,21.0,14.0,0.0,,0.9874
1003818501,Internal Medicine,8408,10003.1,456884.19,284527,328.0,1595.0,314525.57,6741.0,140459.8,139.0,1930.81,1.65,70.0,192.0,136.0,35.0,,159.0,120.0,0.0,,0.9846
1003818634,Internal Medicine,1536,3307.1,112696.82,98201,253.0,,,1226.0,43266.75,28.0,2061.87,1.82,75.0,139.0,114.0,236.0,,,,0.0,,1.5845
1003818733,Neurology,19,31.0,627.74,805,12.0,,,,,0.0,0.0,0.0,69.0,,,12.0,0.0,0.0,0.0,0.0,0.0,1.1233
1003818816,Neurology,5797,8892.7,3313296.64,259041,746.0,1185.0,3143516.1,4588.0,168110.05,160.0,6705.38,2.76,73.0,406.0,340.0,708.0,19.0,,,0.0,,1.4145
1003818840,Family Practice,4729,7539.5,226915.39,214626,271.0,756.0,135674.81,3921.0,89372.06,71.0,1534.54,1.5,74.0,209.0,62.0,,0.0,,0.0,0.0,,0.9464
1003818881,Internal Medicine,418,423.7,6492.4,5184,246.0,42.0,3640.32,376.0,2852.08,64.0,245.45,15.31,64.0,147.0,99.0,36.0,182.0,0.0,,0.0,,1.9027
1003818931,Internal Medicine,2493,6193.9,149664.1,181094,426.0,,,2034.0,56458.94,,,,76.0,291.0,135.0,405.0,,,,0.0,,1.2088
1003819053,Family Practice,6303,11945.6,490317.28,347508,556.0,1057.0,345319.63,5200.0,142816.2,234.0,18256.88,3.71,73.0,316.0,240.0,516.0,,,,,21.0,1.0412
1003819111,Internal Medicine,15625,26265.7,753877.12,760160,840.0,2430.0,499749.31,13144.0,251620.86,241.0,4400.35,1.54,74.0,405.0,435.0,801.0,13.0,,,,,0.9823
1003819152,Internal Medicine,12267,20214.2,595373.66,594884,846.0,2281.0,372022.49,9926.0,221046.78,53.0,367.4,0.43,73.0,645.0,201.0,719.0,88.0,,21.0,0.0,,1.2065
1003819202,Family Practice,1706,1899.4,88128.41,54128,241.0,316.0,67301.62,1370.0,20381.47,14.0,806.53,0.82,59.0,133.0,108.0,,,,,0.0,,1.3468
1003819400,Family Practice,5528,10510.7,353640.47,306040,409.0,671.0,246544.83,4780.0,104429.63,124.0,1208.49,2.24,71.0,192.0,217.0,361.0,,0.0,,0.0,,0.9449
1003819509,Family Practice,11,11.0,310.44,330,,0.0,0.0,11.0,310.44,0.0,0.0,0.0,,,,,,,,,,
1003819525,Family Practice,18047,23297.1,887259.97,652324,613.0,2834.0,574803.84,15023.0,305918.84,278.0,6581.38,1.54,66.0,441.0,172.0,541.0,57.0,,,0.0,,1.4569
1003819699,Internal Medicine,21959,29491.9,1088229.47,796126,721.0,4459.0,813467.07,17213.0,266644.06,722.0,13786.46,3.29,78.0,463.0,258.0,,,0.0,,,,1.3090000000000002
1003819798,Family Practice,2169,4430.6,124005.56,127100,172.0,,,1816.0,45816.12,,,,73.0,91.0,81.0,136.0,21.0,,,0.0,,0.9299
1003819897,Neurology,4915,7666.4,1986472.8,221429,628.0,1048.0,1824554.79,3855.0,161500.31,209.0,10205.15,4.25,72.0,396.0,232.0,455.0,154.0,,,0.0,,1.5003
1003820036,General Practice,1601,1945.2,42016.1,52106,131.0,106.0,19434.25,1495.0,22581.85,367.0,8805.37,22.92,62.0,63.0,68.0,11.0,120.0,0.0,0.0,0.0,0.0,1.1602
1003820176,Internal Medicine,358,714.9,15025.85,21105,80.0,,,312.0,6392.1,,,,73.0,32.0,48.0,,0.0,0.0,,0.0,,1.1396
1003820184,Psychiatry,1098,1196.9,216535.91,33062,54.0,217.0,168243.07,881.0,48292.84,0.0,0.0,0.0,53.0,32.0,22.0,43.0,,,0.0,0.0,,1.3176
1003820325,Neurology,3153,4550.4,1279705.46,132485,368.0,599.0,1071371.02,2479.0,205015.93,29.0,333.79,0.92,73.0,199.0,169.0,350.0,,,,0.0,,1.2918
1003820465,Family Practice,1504,3112.0,119923.37,89805,113.0,318.0,81319.36,1175.0,38239.54,68.0,4388.38,4.52,75.0,64.0,49.0,,,0.0,,0.0,,1.1891
1003820531,Family Practice,7886,11082.6,531144.87,321912,466.0,1658.0,360196.39,6169.0,169178.37,645.0,61514.08,8.18,68.0,289.0,177.0,252.0,,0.0,,0.0,,1.3663
1003820572,Internal Medicine,23290,38701.2,1224313.22,1106623,949.0,4570.0,887511.48,18664.0,333909.65,635.0,11410.13,2.73,75.0,551.0,398.0,842.0,48.0,,46.0,0.0,,1.4865
1003820721,Internal Medicine,577,706.6,3313879.97,19846,90.0,,,380.0,13360.88,11.0,31.84,1.91,63.0,31.0,59.0,,79.0,0.0,,,0.0,1.3082
1003820820,Family Practice,2993,5896.9,167608.68,165385,256.0,439.0,105099.12,2528.0,61311.14,144.0,5673.6,4.81,72.0,147.0,109.0,208.0,,17.0,13.0,0.0,,1.0402
1003821802,Psychiatry,2597,2712.7,160233.79,76685,253.0,,,2370.0,114821.66,0.0,0.0,0.0,49.0,128.0,125.0,177.0,,0.0,,,,1.4349
1003821844,Internal Medicine,319,323.0,11687.86,5645,144.0,,,272.0,4084.38,15.0,84.85,4.7,73.0,77.0,67.0,88.0,,0.0,,,,2.2209
1003821968,Internal Medicine,402,479.2,18683.36,9956,130.0,,,333.0,4891.35,25.0,414.24,6.22,74.0,74.0,56.0,115.0,,,,0.0,,2.4132
1003822198,Internal Medicine,391,391.0,5490.78,4208,334.0,,,,,20.0,316.8,5.12,71.0,196.0,138.0,303.0,,,13.0,,,1.0353
1003822503,Family Practice,5471,8568.0,104567.4,236570,303.0,704.0,48856.92,4755.0,55329.75,,,,73.0,147.0,156.0,,0.0,,0.0,0.0,,0.8733
1003822743,Family Practice,5410,11546.5,568520.36,337217,608.0,981.0,408498.59,4366.0,157169.81,334.0,15445.6,6.17,71.0,322.0,286.0,589.0,,0.0,,0.0,,1.1489
1003822909,Family Practice,3892,6617.8,310399.46,190634,241.0,785.0,234043.73,3080.0,74859.77,189.0,3590.92,4.86,75.0,154.0,87.0,229.0,,,,0.0,,1.1283
1003822966,Internal Medicine,840,1787.7,69847.32,52323,108.0,205.0,51574.52,635.0,18272.8,,,,75.0,48.0,60.0,,,0.0,,0.0,,0.9052
1003823048,Family Practice,9601,16313.9,508354.79,473654,667.0,1695.0,288265.68,7837.0,217320.68,409.0,13107.17,4.26,73.0,511.0,156.0,464.0,,,173.0,,,1.0605
1003823063,Internal Medicine,22,24.0,1459.33,531,13.0,,,,,,,,65.0,,,,,0.0,,0.0,,3.0469
1003823220,Internal Medicine,202,261.7,11181.78,5531,91.0,,,171.0,3713.34,,,,71.0,59.0,32.0,76.0,,,,0.0,,1.9553
1003823295,Family Practice,4981,8289.1,309888.24,235947,329.0,720.0,195104.87,4243.0,114228.3,182.0,31384.95,3.65,73.0,177.0,152.0,310.0,,0.0,,0.0,,0.9733
1003823410,Neurology,1643,1918.9,352968.44,55067,189.0,210.0,307011.55,1399.0,44217.03,57.0,868.5,3.47,66.0,139.0,50.0,,0.0,,,,,1.1064
1003823527,Family Practice,7616,7716.3,360076.38,215536,186.0,1519.0,273060.68,5933.0,84033.98,85.0,380.25,1.12,70.0,89.0,97.0,0.0,0.0,0.0,186.0,0.0,0.0,1.3951
1003823550,Family Practice,555,811.5,34450.24,23000,110.0,,,458.0,12817.29,24.0,1053.54,4.32,69.0,69.0,41.0,61.0,,,35.0,0.0,,1.391
1003823584,Family Practice,6093,9362.1,464578.28,272946,258.0,1229.0,351364.11,4709.0,107211.82,116.0,1311.67,1.9,71.0,173.0,85.0,,73.0,,155.0,0.0,,1.1183
1003823808,Family Practice,121,133.0,4447.23,2599,61.0,,,,,80.0,1000.22,66.12,73.0,41.0,20.0,,0.0,0.0,,0.0,0.0,0.8979
1003823840,Psychiatry,229,229.2,6743.93,4080,49.0,14.0,3175.98,215.0,3567.95,,,,58.0,31.0,18.0,,,,0.0,0.0,0.0,1.7764
1003823873,Family Practice,2027,3509.0,139154.22,103337,108.0,345.0,105132.4,1662.0,33083.44,92.0,1647.63,4.54,69.0,77.0,31.0,79.0,,0.0,,0.0,,1.1339
1003824046,Neurology,98,114.0,49130.08,3360,12.0,57.0,47281.07,,,0.0,0.0,0.0,59.0,,,,,0.0,,0.0,0.0,1.2929
1003824152,Psychiatry,5057,5200.7,798689.69,139114,224.0,564.0,533211.51,4493.0,265478.18,0.0,0.0,0.0,56.0,125.0,99.0,62.0,,105.0,28.0,,,1.5455
1003824160,Internal Medicine,2280,5551.1,161471.67,161520,233.0,400.0,108786.29,1846.0,50636.65,13.0,61.52,0.57,75.0,175.0,58.0,28.0,0.0,152.0,18.0,0.0,35.0,1.1058
1003824376,Family Practice,5230,9418.6,296238.66,270095,295.0,757.0,192087.13,4427.0,102298.8,223.0,14185.19,4.26,72.0,139.0,156.0,273.0,,,,0.0,,1.1522
1003824467,Family Practice,1664,2245.3,424337.31,62447,171.0,289.0,359871.97,1247.0,58631.6,104.0,11212.75,6.25,68.0,113.0,58.0,153.0,,,,0.0,,1.0904
1003824509,Family Practice,12995,20196.3,1225513.76,576948,466.0,2655.0,878032.3,10242.0,342140.53,821.0,30105.49,6.32,71.0,254.0,212.0,436.0,15.0,0.0,,,,1.3641
1003824582,Family Practice,2018,3381.9,119588.87,95409,154.0,381.0,94766.14,1619.0,24043.23,15.0,279.83,0.74,76.0,72.0,82.0,,0.0,0.0,,0.0,,1.0535
1003824632,Family Practice,7406,12852.3,478387.75,370887,322.0,1164.0,308559.02,6194.0,165790.66,314.0,8291.41,4.24,72.0,189.0,133.0,280.0,,,19.0,0.0,,0.9119
1003824699,Internal Medicine,460,494.3,16183.03,10703,140.0,,,398.0,5066.32,16.0,158.42,3.48,76.0,83.0,57.0,28.0,,52.0,49.0,0.0,,2.2938
1003824731,Family Practice,6820,11484.2,344159.52,295350,364.0,1079.0,224431.21,5696.0,116909.72,246.0,8608.11,3.61,75.0,202.0,162.0,,,0.0,,,,1.2667
1003824764,Family Practice,2490,4280.7,116494.19,124708,213.0,428.0,83528.59,2048.0,32625.99,51.0,715.4,2.05,73.0,110.0,103.0,171.0,,0.0,,0.0,,0.9878
1003824939,Internal Medicine,10282,16683.6,614211.22,469023,478.0,2149.0,440409.27,8081.0,171604.09,192.0,6382.77,1.87,76.0,294.0,184.0,447.0,,,15.0,0.0,,1.1668
1003825076,Psychiatry,1333,1790.1,82481.33,53448,101.0,118.0,42641.45,1215.0,39839.88,0.0,0.0,0.0,65.0,64.0,37.0,89.0,,,,0.0,,1.1454
1003825159,Family Practice,864,1232.6,27992.19,35356,149.0,,,695.0,12862.02,0.0,0.0,0.0,71.0,62.0,87.0,133.0,,,,0.0,,1.0915
1003825274,Internal Medicine,19315,21790.1,1006911.25,639295,547.0,4315.0,709204.19,14479.0,282598.96,157.0,2492.33,0.81,72.0,324.0,223.0,30.0,,,499.0,0.0,,1.2676
1003825324,Psychiatry,2434,3037.6,145907.19,89067,296.0,141.0,55081.37,2293.0,90825.82,,,,56.0,175.0,121.0,220.0,48.0,,,,,1.5702
1003825423,Family Practice,3109,5271.0,261445.66,153611,230.0,590.0,198361.6,2498.0,62331.7,132.0,2370.6,4.25,70.0,131.0,99.0,207.0,,0.0,,0.0,,1.0070000000000001
1003825449,Internal Medicine,18,52.0,7187.11,1540,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003825506,Family Practice,10619,15527.8,555178.85,443108,515.0,1903.0,392368.08,8685.0,161914.76,198.0,9417.02,1.86,73.0,301.0,214.0,490.0,,,,0.0,,1.0907
1003825548,Psychiatry,4729,5120.3,418902.93,151381,250.0,689.0,299994.2,4040.0,118908.73,,,,64.0,176.0,74.0,200.0,,,,0.0,,1.5946
1003825597,Family Practice,753,1133.0,35843.71,31264,86.0,,,666.0,11353.53,,,,68.0,44.0,42.0,,,,40.0,0.0,,0.9739
1003825720,Family Practice,5947,8280.2,484433.21,233865,271.0,1048.0,385987.01,4852.0,96659.15,414.0,31529.59,6.96,72.0,150.0,121.0,256.0,,0.0,,0.0,,1.0002
1003825795,Internal Medicine,18,26.0,145.56,780,,0.0,0.0,18.0,145.56,0.0,0.0,0.0,,,,,,,,,,
1003826181,Family Practice,2027,3550.7,128682.67,101200,126.0,,,1716.0,38616.27,53.0,7470.98,2.61,69.0,101.0,25.0,,,0.0,0.0,0.0,,0.8489
1003826199,Internal Medicine,15639,18830.6,638951.77,518596,490.0,2397.0,436630.45,13141.0,199475.73,618.0,11283.39,3.95,72.0,316.0,174.0,242.0,,0.0,,0.0,,1.3823
1003826256,Internal Medicine,9661,18963.8,527648.84,553129,555.0,1724.0,378464.96,7863.0,145790.57,211.0,5324.06,2.18,77.0,292.0,263.0,157.0,14.0,24.0,347.0,0.0,13.0,1.443
1003826389,Family Practice,3450,6308.4,290916.78,180009,310.0,712.0,226734.8,2723.0,63266.79,140.0,3855.74,4.06,73.0,179.0,131.0,281.0,,0.0,,0.0,,1.0533
1003826462,Internal Medicine,4560,4652.4,162512.38,105544,125.0,,,3607.0,76595.34,24.0,222.47,0.53,86.0,91.0,34.0,113.0,,0.0,,0.0,,1.7590000000000001
1003826504,Family Practice,8721,15104.1,601864.18,440665,492.0,1491.0,392703.38,7203.0,208178.25,358.0,15167.26,4.11,71.0,408.0,84.0,332.0,147.0,,,0.0,,1.0158
1003826553,Family Practice,739,954.4,22814.61,28063,103.0,,,657.0,10373.82,38.0,1317.55,5.14,65.0,52.0,51.0,83.0,,,,0.0,0.0,0.9929
1003826603,Internal Medicine,154,165.7,6458.77,3177,60.0,,,134.0,2492.9,14.0,143.09,9.09,71.0,31.0,29.0,,,,0.0,,,2.6165
1003826728,Family Practice,4793,7445.0,232865.37,194411,223.0,736.0,162664.32,4003.0,68549.43,214.0,5170.02,4.46,75.0,117.0,106.0,197.0,,,,,,1.094
1003826819,Family Practice,17887,19148.7,913525.2,408616,321.0,5864.0,696302.1,11950.0,214348.69,191.0,1669.96,1.07,70.0,199.0,122.0,308.0,,,0.0,0.0,,1.5889
1003826868,Internal Medicine,11,15.0,33.68,262,,0.0,0.0,11.0,33.68,0.0,0.0,0.0,,,,,,,,,,
1003826884,Family Practice,8681,15293.3,594335.17,452031,470.0,1478.0,431811.98,7142.0,160700.24,256.0,9891.7,2.95,76.0,242.0,228.0,409.0,,,41.0,,,0.9966
1003826918,Family Practice,329,331.0,6217.81,2705,174.0,26.0,3957.54,303.0,2260.27,83.0,442.32,25.23,67.0,102.0,72.0,142.0,14.0,0.0,18.0,0.0,0.0,1.8426
1003827098,Internal Medicine,90,106.0,3294.68,2917,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003827106,Internal Medicine,7048,12571.0,356615.75,365159,470.0,1192.0,232319.11,5830.0,123620.7,434.0,17178.02,6.16,75.0,368.0,102.0,356.0,55.0,,41.0,0.0,,1.1002
1003827205,Family Practice,3178,4483.6,290329.22,120872,825.0,565.0,99592.83,2601.0,190236.92,16.0,119.85,0.5,71.0,496.0,329.0,801.0,11.0,,,0.0,,1.072
1003827411,Internal Medicine,7585,11874.3,394392.35,348291,395.0,1395.0,295480.72,6095.0,94859.98,123.0,882.19,1.62,75.0,310.0,85.0,16.0,367.0,,,,,1.1957
1003827585,Internal Medicine,4090,7043.4,240280.78,199523,333.0,864.0,160471.53,3205.0,79045.49,280.0,12227.43,6.85,71.0,253.0,80.0,279.0,17.0,,,0.0,14.0,1.093
1003827692,Internal Medicine,14483,21678.5,954238.73,643093,630.0,2819.0,683742.45,11470.0,265422.43,1024.0,101924.08,7.07,74.0,296.0,334.0,178.0,11.0,,429.0,,,1.5168
1003827759,Internal Medicine,15537,22572.1,842088.01,635716,547.0,2184.0,622718.13,13161.0,210936.05,1135.0,15601.25,7.31,68.0,316.0,231.0,212.0,283.0,28.0,,,,1.5008
1003827858,Family Practice,4268,9572.9,239751.45,278467,297.0,439.0,159332.98,3781.0,78370.27,32.0,229.13,0.75,72.0,156.0,141.0,284.0,,,,0.0,,0.9464
1003827957,Psychiatry,93,93.0,6407.23,2309,38.0,,,,,,,,50.0,26.0,12.0,26.0,,,,0.0,,1.5591
1003827999,Internal Medicine,1192,1634.1,374650.52,45611,95.0,,,938.0,34959.27,184.0,9698.5,15.44,71.0,68.0,27.0,75.0,,,,0.0,,1.2441
1003828021,Family Practice,467,492.4,9024.68,6211,293.0,,,399.0,5250.67,29.0,212.67,6.21,71.0,189.0,104.0,248.0,19.0,,,,,0.9893
1003828039,Psychiatry,2375,2919.3,304267.75,85402,194.0,281.0,191638.91,2094.0,112628.84,,,,67.0,135.0,59.0,172.0,,0.0,,0.0,,1.5861
1003828070,Internal Medicine,117,297.7,7281.52,8779,22.0,,,,,,,,74.0,0.0,22.0,,,0.0,0.0,0.0,0.0,0.8343
1003828369,Family Practice,1105,2225.0,74893.8,65372,103.0,,,928.0,16943.96,55.0,8462.01,4.98,71.0,83.0,20.0,,,0.0,,0.0,,0.9995
1003828393,Family Practice,70,73.6,3772.94,2194,,,,50.0,1592.57,0.0,0.0,0.0,,,,,,,,,,
1003828435,Family Practice,47,55.0,3203.02,1594,,,,36.0,1839.89,0.0,0.0,0.0,,,,,,,,,,
1003828526,Psychiatry,488,592.2,30913.4,17565,45.0,38.0,8481.83,450.0,22431.57,0.0,0.0,0.0,65.0,27.0,18.0,,,0.0,0.0,0.0,,1.3546
1003828542,Internal Medicine,3174,6341.4,217912.6,187434,223.0,631.0,166856.96,2517.0,49978.79,88.0,7624.22,2.77,74.0,115.0,108.0,191.0,21.0,,,0.0,,0.9878
1003828724,Family Practice,11929,11947.8,603039.32,256382,262.0,2380.0,348198.67,9506.0,252422.72,1090.0,26707.08,9.14,74.0,148.0,114.0,199.0,,,,0.0,,2.9487
1003828849,Family Practice,10297,15314.0,472798.6,441213,394.0,1751.0,294861.87,8515.0,176616.57,216.0,1979.84,2.1,73.0,221.0,173.0,,,0.0,,0.0,,1.0516
1003829235,General Practice,77,133.1,15179.3,3885,,39.0,13988.6,,,0.0,0.0,0.0,,,,,,,,,,
1003829300,Family Practice,5663,10862.1,415776.53,317176,400.0,942.0,297745.96,4679.0,116094.17,351.0,13509.7,6.2,75.0,210.0,190.0,360.0,,,29.0,,,1.0886
1003829326,Internal Medicine,7970,20680.5,445858.49,603983,690.0,1870.0,221057.89,6006.0,222417.02,429.0,17817.39,5.38,76.0,363.0,327.0,227.0,359.0,41.0,40.0,0.0,23.0,1.2605
1003829425,Psychiatry,11,11.9,260.73,241,,0.0,0.0,11.0,260.73,0.0,0.0,0.0,,,,,,,,,,
1003829508,Internal Medicine,5079,5445.8,220415.45,146516,129.0,939.0,160970.22,4101.0,57821.95,67.0,476.54,1.32,71.0,71.0,58.0,,93.0,,,0.0,,1.3421
